,fighter_name,Height_cm,Weight_kg,Reach_cm,Stance,SLpM,Str_Acc%,Strikes_absorbed/m,Str_Def%,TD_Avg,TD_Def%,Sub_Avg,weight_class,TD_Acc
0,Felice Herrig,162.56,52,65,Orthodox,3.63,36.0,4.84,49.0,1.18,72.0,0.9,Straw Weight,30.0
1,Tecia Torres,154.94,52,60,Southpaw,4.3,47.0,3.37,62.0,0.68,56.0,0.1,Straw Weight,15.0
2,Loma Lookboonmee,154.94,52,61,Southpaw,5.16,55.0,3.09,59.0,0.67,72.0,0.0,Straw Weight,25.0
3,Amanda Lemos,162.56,52,65,Southpaw,6.21,64.0,5.39,45.0,1.98,100.0,0.5,Straw Weight,100.0
4,Carla Esparza,154.94,52,63,Orthodox,2.29,42.0,2.85,53.0,3.44,48.0,0.3,Straw Weight,35.0
5,Cheyanne Buys,160.02,52,63,Switch,4.1,53.0,1.67,65.0,0.0,60.0,0.0,Straw Weight,43.37
6,Emily Kagan,160.02,52,63,Orthodox,2.6,36.0,5.29,38.0,1.86,50.0,0.0,Straw Weight,14.0
7,Marina Rodriguez,167.64000000000001,52,65,Southpaw,4.86,50.0,3.16,53.0,0.36,59.0,0.2,Straw Weight,33.0
8,Hilarie Rose,160.02,52,63,Orthodox,2.33,33.0,6.13,44.0,0.0,100.0,0.0,Straw Weight,43.37
9,Jocelyn Jones-Lybarger,170.18,52,64,Orthodox,2.96,31.0,4.83,56.0,0.34,81.0,0.0,Straw Weight,25.0
10,Tyra Parker,165.1,52,63,Orthodox,1.5,22.0,9.0,14.0,0.0,63.75,0.0,Straw Weight,43.37
11,Kali Robbins,160.02,52,63,Orthodox,3.73,46.0,9.4,44.0,2.0,63.75,0.0,Straw Weight,33.0
12,Jamie Moyle,154.94,52,65,Southpaw,4.51,51.0,4.0,65.0,1.0,50.0,0.0,Straw Weight,21.0
13,Joanna Jedrzejczyk,167.64000000000001,52,65,Southpaw,6.3,48.0,3.08,64.0,0.28,81.0,0.1,Straw Weight,62.0
14,Virna Jandiroba,160.02,52,64,Orthodox,2.39,46.0,3.08,54.0,3.16,73.0,2.0,Straw Weight,53.0
15,Livinha Souza,160.02,52,63,Orthodox,2.06,45.0,3.38,62.0,2.4,40.0,1.2,Straw Weight,44.0
16,Cristina Stanciu,160.02,52,63,Orthodox,2.5,50.0,3.07,52.0,0.85,40.0,1.7,Straw Weight,100.0
17,Izabela Badurek,165.1,52,63,Orthodox,3.74,71.0,4.9,32.0,1.75,100.0,0.0,Straw Weight,12.0
18,Danielle Taylor,152.4,52,60,Orthodox,2.75,29.0,3.31,71.0,0.2,70.0,0.2,Straw Weight,20.0
19,Stephanie Frausto,157.48000000000002,52,61,Orthodox,1.43,21.0,3.57,60.0,0.0,63.75,0.0,Straw Weight,43.37
20,Chan-Mi Jeon,165.1,52,63,Orthodox,6.23,31.0,7.77,55.0,0.0,63.75,0.0,Straw Weight,43.37
21,Jinh Yu Frey,160.02,52,65,Southpaw,1.79,40.0,3.35,44.0,1.06,83.0,0.7,Straw Weight,42.0
22,Amber Tackett,161.41,52,63,Orthodox,0.0,43.89,0.0,51.86,0.0,63.75,0.0,Straw Weight,43.37
23,Sam Hughes,165.1,52,64,Orthodox,4.0,37.0,10.4,49.0,0.0,63.75,0.0,Straw Weight,43.37
24,Claudia Gadelha,162.56,52,63,Orthodox,3.31,41.0,4.57,57.0,3.03,58.0,0.7,Straw Weight,42.0
25,Angela Hill,160.02,52,64,Southpaw,5.66,50.0,4.98,64.0,0.45,76.0,0.1,Straw Weight,36.0
26,Poliana Botelho,172.72,52,67,Orthodox,3.0,56.0,3.08,50.0,0.89,80.0,0.0,Straw Weight,100.0
27,Kailin Curran,162.56,52,65,Orthodox,3.89,43.0,4.75,53.0,2.0,61.0,0.6,Straw Weight,57.0
28,Maia Stevenson,162.56,52,62,Orthodox,1.57,54.0,3.13,33.0,3.91,50.0,0.0,Straw Weight,100.0
29,Tatiana Suarez,165.1,52,66,Southpaw,4.82,65.0,1.45,48.0,6.47,100.0,0.6,Straw Weight,62.0
30,Ericka Almeida,167.64000000000001,52,63,Orthodox,1.07,39.0,3.33,43.0,0.5,37.0,0.0,Straw Weight,33.0
31,Maiara Amanajas dos Santos,165.1,52,63,Southpaw,5.53,35.0,24.47,33.0,0.0,100.0,0.0,Straw Weight,43.37
32,Seo Hee Ham,157.48000000000002,52,62,Southpaw,4.2,39.0,5.15,61.0,0.0,66.0,0.2,Straw Weight,43.37
33,Kay Hansen,157.48000000000002,52,63,Southpaw,3.57,59.0,3.03,54.0,2.19,100.0,1.6,Straw Weight,25.0
34,Emily Whitmire,165.1,52,63,Orthodox,2.71,30.0,3.08,54.0,1.1,70.0,0.6,Straw Weight,50.0
35,Michelle Waterson,160.02,52,62,Orthodox,3.58,49.0,4.0,49.0,1.52,67.0,0.9,Straw Weight,34.0
36,Alex Chambers,160.02,52,63,Southpaw,2.97,54.0,5.1,50.0,2.31,53.0,1.0,Straw Weight,41.0
37,Sarah Payant,162.56,52,63,Orthodox,0.29,16.0,2.06,30.0,0.0,63.75,0.0,Straw Weight,43.37
38,Jessica Penne,165.1,52,67,Orthodox,2.46,33.0,4.73,48.0,1.58,20.0,0.6,Straw Weight,25.0
39,Juliana Lima,165.1,52,65,Orthodox,1.94,44.0,2.11,55.0,1.72,70.0,0.0,Straw Weight,31.0
40,Lisa Ellis,162.56,52,63,Orthodox,1.68,48.0,2.32,57.0,4.19,50.0,0.6,Straw Weight,63.0
41,Anna Elmose,160.02,52,63,Orthodox,3.68,49.0,4.64,56.0,0.0,33.0,0.0,Straw Weight,43.37
42,Aisling Daly,157.48000000000002,52,64,Southpaw,2.92,52.0,1.4,55.0,2.15,33.0,0.9,Straw Weight,41.0
43,Hannah Cifers,154.94,52,62,Orthodox,4.99,44.0,5.39,52.0,0.26,64.0,0.3,Straw Weight,100.0
44,Viviane Pereira,154.94,52,63,Orthodox,2.7,30.0,4.48,58.0,0.25,28.0,0.2,Straw Weight,100.0
45,Luana Pinheiro,157.48000000000002,52,62,Southpaw,3.57,40.0,1.43,78.0,0.0,63.75,0.0,Straw Weight,43.37
46,Ariane Carnelossi,157.48000000000002,52,61,Orthodox,6.03,38.0,7.71,50.0,0.0,63.75,0.0,Straw Weight,43.37
47,Tina Lahdemaki,157.48000000000002,52,63,Orthodox,1.93,20.0,4.67,57.0,0.0,16.0,0.0,Straw Weight,43.37
48,Syuri Kondo,162.56,52,66,Orthodox,5.4,44.0,7.22,58.0,0.0,83.0,0.3,Straw Weight,43.37
49,Karolina Kowalkiewicz,160.02,52,64,Orthodox,5.27,39.0,5.65,56.0,0.1,75.0,0.1,Straw Weight,12.0
50,Jodie Esquibel,154.94,52,64,Orthodox,4.1,31.0,7.37,52.0,0.75,83.0,0.0,Straw Weight,21.0
51,Jessica Rakoczy,170.18,52,63,Orthodox,2.5,44.0,3.55,64.0,0.75,63.75,0.8,Straw Weight,20.0
52,Kaline Medeiros,160.02,52,63,Southpaw,2.06,70.0,0.29,83.0,4.41,63.75,4.4,Straw Weight,100.0
53,Cory McKenna,160.02,52,58,Southpaw,3.47,44.0,3.03,45.0,0.5,71.0,0.0,Straw Weight,50.0
54,Yan Xiaonan,165.1,52,63,Southpaw,6.42,42.0,3.63,63.0,1.0,75.0,0.0,Straw Weight,75.0
55,Aleksandra Albu,157.48000000000002,52,63,Orthodox,4.83,47.0,5.56,38.0,2.27,77.0,0.4,Straw Weight,50.0
56,Jessica Andrade,154.94,52,62,Southpaw,6.38,49.0,5.26,53.0,3.11,76.0,0.4,Straw Weight,57.0
57,Nina Ansaroff,165.1,52,64,Southpaw,4.81,47.0,3.55,54.0,0.29,77.0,0.6,Straw Weight,40.0
58,Zhang Weili,162.56,52,63,Switch,6.38,45.0,4.43,53.0,1.26,100.0,0.5,Straw Weight,23.0
59,Jessica Aguilar,160.02,52,63,Orthodox,4.93,50.0,7.19,53.0,0.94,50.0,0.2,Straw Weight,25.0
60,Paige VanZant,162.56,52,65,Southpaw,3.35,52.0,2.62,42.0,1.27,34.0,1.0,Straw Weight,33.0
61,Maria De Oliveira Neta,165.1,52,63,Orthodox,2.62,42.0,11.48,23.0,0.0,63.75,0.0,Straw Weight,43.37
62,Gloria de Paula,165.1,52,67,Southpaw,3.33,54.0,1.2,70.0,0.0,71.0,1.0,Straw Weight,43.37
63,Vanessa Demopoulos,157.48000000000002,52,59,Orthodox,1.6,41.0,3.13,50.0,0.0,63.75,2.0,Straw Weight,43.37
64,Mallory Martin,162.56,52,63,Orthodox,3.99,59.0,5.53,58.0,3.37,25.0,0.5,Straw Weight,63.0
65,Tiffany Masters,160.02,52,65,Southpaw,3.53,62.0,2.58,50.0,3.06,63.75,0.0,Straw Weight,60.0
66,Pearl Gonzalez,162.56,52,63,Orthodox,2.23,37.0,4.07,57.0,1.04,63.75,0.5,Straw Weight,11.0
67,Ashley Yoder,170.18,52,69,Southpaw,2.75,39.0,3.53,46.0,1.33,68.0,0.7,Straw Weight,37.0
68,Kanako Murata,154.94,52,62,Orthodox,1.93,67.0,1.93,52.0,4.0,63.75,2.0,Straw Weight,44.0
69,Miles McDonald,170.18,52,63,Southpaw,5.1,45.0,4.0,43.0,0.0,100.0,1.0,Straw Weight,43.37
70,Valerie Letourneau,170.18,52,68,Orthodox,4.51,37.0,5.4,58.0,0.77,66.0,0.3,Straw Weight,45.0
71,Montserrat Conejo,152.4,52,61,Southpaw,1.0,36.0,2.07,52.0,4.0,63.75,2.0,Straw Weight,80.0
72,Amanda Cooper,160.02,52,64,Switch,3.55,44.0,3.2,51.0,1.53,28.0,1.8,Straw Weight,38.0
73,Rose Namajunas,165.1,52,65,Southpaw,4.13,40.0,3.98,60.0,1.91,50.0,0.8,Straw Weight,53.0
74,Na Liang,161.41,52,63,Orthodox,0.0,43.89,0.0,51.86,0.0,63.75,0.0,Straw Weight,43.37
75,Randa Markos,162.56,52,63,Orthodox,2.85,41.0,3.2,59.0,1.23,57.0,0.2,Straw Weight,28.0
76,Mackenzie Dern,162.56,52,63,Orthodox,3.74,38.0,3.81,61.0,0.28,63.75,2.2,Straw Weight,5.0
77,Micol Di Segni,160.02,52,60,Southpaw,7.47,40.0,5.87,33.0,0.0,37.0,0.0,Straw Weight,43.37
78,Angela Magana,154.94,52,65,Orthodox,1.53,28.0,4.92,42.0,0.4,28.0,0.4,Straw Weight,25.0
79,Heather Clark,167.64000000000001,52,64,Orthodox,3.69,49.0,5.62,50.0,0.33,80.0,0.3,Straw Weight,4.0
80,Jamie Colleen,160.02,52,65,Orthodox,3.11,61.0,5.66,33.0,0.52,50.0,1.6,Straw Weight,33.0
81,Istela Nunes,162.56,52,63,Orthodox,0.0,43.89,0.0,51.86,0.0,63.75,0.0,Straw Weight,43.37
82,Polyana Viana,165.1,52,67,Southpaw,3.71,41.0,3.01,54.0,1.12,50.0,3.4,Straw Weight,33.0
83,Brianna Van Buren,152.4,52,62,Southpaw,3.53,41.0,3.23,57.0,2.5,66.0,0.0,Straw Weight,45.0
84,Pauline Macias,162.56,52,64,Southpaw,0.8,29.0,4.6,42.0,2.0,63.75,0.0,Straw Weight,18.0
85,Dan O'Connor,162.56,52,63,Orthodox,4.0,56.0,5.1,54.0,0.0,100.0,0.0,Straw Weight,43.37
86,Victoria Leonardo,165.1,56,64,Orthodox,3.4,37.0,4.15,47.0,2.39,60.76,0.0,Bantam Weight,37.0
87,Matheus Nicolau,167.64000000000001,56,66,Southpaw,3.79,52.0,2.83,67.0,1.93,100.0,1.4,Bantam Weight,44.0
88,Jaimelene Nievera,165.1,56,66,Orthodox,1.67,53.0,8.73,33.0,1.79,60.76,0.0,Bantam Weight,16.0
89,Khomkrit Niimi,157.48000000000002,56,66,Orthodox,0.0,42.12,5.73,44.0,0.0,60.76,0.0,Bantam Weight,44.09
90,Molly McCann,162.56,56,62,Southpaw,5.15,50.0,4.28,65.0,1.64,28.0,0.7,Bantam Weight,29.0
91,Montana De La Rosa,170.18,56,68,Orthodox,2.85,36.0,3.39,45.0,2.14,57.0,1.2,Bantam Weight,28.0
92,Dustin Moore,162.56,56,66,Orthodox,0.0,42.12,0.0,55.91,0.0,60.76,0.0,Bantam Weight,44.09
93,Jamey-Lyn Horth,170.18,56,66,Orthodox,0.0,42.12,0.0,55.91,0.0,60.76,0.0,Bantam Weight,44.09
94,Zhalgas Zhumagulov,162.56,56,66,Switch,4.17,49.0,4.0,58.0,1.5,33.0,0.0,Bantam Weight,21.0
95,Azamat Gashimov,167.64000000000001,56,66,Orthodox,1.24,21.0,4.75,53.0,1.69,60.76,0.0,Bantam Weight,25.0
96,Willie Gates,172.72,56,72,Orthodox,1.8,38.0,4.28,38.0,0.0,67.0,0.4,Bantam Weight,44.09
97,Allan Nascimento,175.26,56,66,Southpaw,7.0,68.0,5.4,44.0,1.0,60.76,0.0,Bantam Weight,10.0
98,Lauren Murphy,165.1,56,67,Orthodox,3.8,38.0,3.82,63.0,1.18,70.0,0.1,Bantam Weight,37.0
99,Bec Rawlings,167.64000000000001,56,64,Orthodox,4.48,42.0,5.66,57.0,0.71,68.0,0.4,Bantam Weight,40.0
100,Lara Procopio,162.56,56,67,Orthodox,6.7,57.0,6.93,47.0,3.5,60.76,0.5,Bantam Weight,50.0
101,Lucie Pudilova,172.72,56,67,Southpaw,4.15,36.0,4.09,52.0,0.16,61.0,0.6,Bantam Weight,12.0
102,Chris Cariaso,160.02,56,64,Southpaw,3.35,43.0,2.23,61.0,1.11,57.0,0.8,Bantam Weight,39.0
103,Matt Schnell,172.72,56,70,Southpaw,4.2,36.0,4.02,62.0,0.48,53.0,1.2,Bantam Weight,33.0
104,Lacey Schuckman,160.02,56,66,Orthodox,0.0,42.12,0.0,55.91,0.0,60.76,0.0,Bantam Weight,44.09
105,Sean Santella,165.1,56,66,Orthodox,0.0,42.12,0.0,55.91,0.0,60.76,0.0,Bantam Weight,44.09
106,Iliarde Santos,165.1,56,67,Orthodox,3.0,30.0,6.1,57.0,1.66,83.0,0.0,Bantam Weight,23.0
107,Ronaldo Candido,167.64000000000001,56,66,Southpaw,1.67,42.0,3.87,52.0,8.0,60.76,5.0,Bantam Weight,53.0
108,Wilson Reis,162.56,56,65,Southpaw,1.83,29.0,3.04,55.0,5.15,47.0,0.6,Bantam Weight,42.0
109,Alvin Cacdac,167.64000000000001,56,66,Southpaw,1.21,66.0,0.61,55.91,0.0,60.76,0.0,Bantam Weight,44.09
110,Ricky Calatayud,175.26,56,66,Orthodox,0.0,42.12,0.0,55.91,0.0,60.76,0.0,Bantam Weight,44.09
111,Joanne Calderwood,167.64000000000001,56,65,Southpaw,6.59,49.0,4.4,53.0,1.8,58.0,0.5,Bantam Weight,55.0
112,Cynthia Calvillo,162.56,56,64,Southpaw,4.18,41.0,3.52,67.0,1.85,71.0,1.1,Bantam Weight,44.0
113,Lucrezia Ria,167.64000000000001,56,66,Orthodox,4.07,46.0,4.4,45.0,1.0,60.76,0.0,Bantam Weight,33.0
114,Amanda Ribas,160.02,56,66,Southpaw,4.25,44.0,1.78,71.0,2.31,85.0,1.6,Bantam Weight,58.0
115,Ronald Carillo,166.77,56,66,Orthodox,0.0,42.12,0.0,55.91,0.0,60.76,0.0,Bantam Weight,44.09
116,Liz Carmouche,167.64000000000001,56,66,Southpaw,2.78,54.0,2.51,61.0,2.57,65.0,0.3,Bantam Weight,51.0
117,Luana Carolina,167.64000000000001,56,69,Southpaw,6.29,50.0,3.75,47.0,0.0,100.0,2.4,Bantam Weight,44.09
118,Tim Elliott,170.18,56,66,Southpaw,3.35,45.0,2.49,59.0,4.01,58.0,1.1,Bantam Weight,49.0
119,Cody Durden,170.18,56,67,Southpaw,3.11,48.0,3.93,41.0,3.28,50.0,0.8,Bantam Weight,26.0
120,Raulian Paiva,172.72,56,69,Orthodox,4.46,43.0,4.89,51.0,0.26,80.0,0.3,Bantam Weight,20.0
121,Alex Perez,167.64000000000001,56,65,Southpaw,4.62,47.0,3.08,61.0,2.92,87.0,1.3,Bantam Weight,45.0
122,Carlos Candelario,172.72,56,67,Southpaw,3.87,47.0,1.67,57.0,0.0,46.0,0.0,Bantam Weight,44.09
123,Natalia Silva,162.56,56,66,Orthodox,0.0,42.12,0.0,55.91,0.0,60.76,0.0,Bantam Weight,44.09
124,Liliya Shakirova,162.56,56,65,Southpaw,2.7,30.0,2.58,74.0,0.0,60.76,0.0,Bantam Weight,44.09
125,Eric Shelton,167.64000000000001,56,68,Southpaw,2.57,42.0,1.88,63.0,2.83,46.0,0.2,Bantam Weight,51.0
126,Antonina Shevchenko,172.72,56,67,Southpaw,4.09,56.0,2.51,54.0,0.65,56.0,0.7,Bantam Weight,60.0
127,Valentina Shevchenko,165.1,56,66,Southpaw,2.98,50.0,2.03,62.0,2.21,75.0,0.3,Bantam Weight,58.0
128,Bibulatov Magomed,165.1,56,65,Southpaw,3.6,51.0,1.83,52.0,2.85,75.0,0.0,Bantam Weight,40.0
129,Naoki Inoue,175.26,56,71,Southpaw,3.67,35.0,3.37,60.0,0.0,60.0,2.5,Bantam Weight,44.09
130,Inoue Mizuki,160.02,56,65,Orthodox,5.0,50.0,6.87,48.0,0.0,66.0,0.0,Bantam Weight,44.09
131,Chris Kelades,170.18,56,68,Orthodox,2.4,43.0,2.64,48.0,1.04,53.0,0.3,Bantam Weight,18.0
132,Jessica Eye,167.64000000000001,56,66,Orthodox,3.76,37.0,4.01,55.0,0.45,57.0,0.5,Bantam Weight,40.0
133,Gillian Robertson,165.1,56,63,Orthodox,2.05,51.0,2.1,51.0,2.64,60.76,0.9,Bantam Weight,46.0
134,Josh Ferguson,165.1,56,66,Orthodox,2.13,43.0,4.18,32.0,0.59,54.0,0.0,Bantam Weight,11.0
135,Hector Sandoval,157.48000000000002,56,64,Southpaw,3.31,52.0,2.33,65.0,3.49,71.0,1.4,Bantam Weight,25.0
136,Melinda Fabian,167.64000000000001,56,66,Southpaw,4.03,41.0,4.0,62.0,0.0,100.0,0.0,Bantam Weight,44.09
137,Kalindra Faria,170.18,56,66,Switch,2.23,56.0,1.44,45.0,1.31,20.0,0.7,Bantam Weight,66.0
138,Jonathan Santa Maria,175.26,56,66,Southpaw,3.6,51.0,2.53,74.0,0.0,80.0,0.0,Bantam Weight,44.09
139,Jenel Lausa,165.1,56,68,Orthodox,1.44,42.0,3.53,53.0,0.55,51.0,0.8,Bantam Weight,66.0
140,Will Campuzano,175.26,56,70,Orthodox,2.43,31.0,3.82,57.0,0.88,48.0,0.2,Bantam Weight,45.0
141,Chico Camus,167.64000000000001,56,66,Southpaw,2.58,41.0,2.46,64.0,0.77,72.0,0.4,Bantam Weight,40.0
142,Maria Rios,165.1,56,66,Orthodox,2.93,34.0,4.13,56.0,2.0,100.0,0.0,Bantam Weight,50.0
143,Brandon Royval,175.26,56,68,Southpaw,3.77,46.0,2.88,47.0,0.79,53.0,2.4,Bantam Weight,100.0
144,Jarred Brooks,160.02,56,62,Switch,2.12,46.0,1.66,62.0,4.54,69.0,0.6,Bantam Weight,57.0
145,Luis Rodriguez,167.64000000000001,56,65,Orthodox,1.27,37.0,3.2,54.0,2.0,100.0,2.0,Bantam Weight,50.0
146,Mara Romero Borella,167.64000000000001,56,69,Southpaw,2.54,37.0,2.48,71.0,1.83,66.0,0.2,Bantam Weight,44.0
147,Nadia Kassem,165.1,56,66,Southpaw,3.13,41.0,4.48,48.0,0.46,40.0,2.8,Bantam Weight,33.0
148,Deiveson Figueiredo,165.1,56,68,Southpaw,3.38,56.0,3.35,50.0,1.57,61.0,2.4,Bantam Weight,50.0
149,JP Buys,165.1,56,67,Orthodox,2.66,45.0,3.05,43.0,2.22,33.0,2.2,Bantam Weight,50.0
150,Ji Yeon Kim,170.18,56,72,Orthodox,4.5,34.0,4.94,57.0,0.0,42.0,0.0,Bantam Weight,44.09
151,Justine Kish,165.1,56,64,Southpaw,4.65,48.0,4.62,59.0,1.01,55.0,0.2,Bantam Weight,35.0
152,Jordan Espinosa,167.64000000000001,56,69,Southpaw,4.22,52.0,2.94,57.0,0.75,70.0,0.2,Bantam Weight,28.0
153,Matt Ramirez,165.1,56,66,Southpaw,3.03,50.0,0.67,75.0,2.53,100.0,0.0,Bantam Weight,16.0
154,Steve Ramirez,170.18,56,66,Orthodox,0.0,42.12,0.0,55.91,0.0,60.76,0.0,Bantam Weight,44.09
155,Taila Santos,167.64000000000001,56,68,Southpaw,3.52,48.0,2.22,59.0,2.0,85.0,1.0,Bantam Weight,80.0
156,Denys Bondar,167.64000000000001,56,66,Orthodox,0.0,42.12,0.0,55.91,0.0,60.76,0.0,Bantam Weight,44.09
157,Rogerio Bontorin,165.1,56,67,Orthodox,2.19,50.0,3.12,38.0,1.9,51.0,1.6,Bantam Weight,40.0
158,Justin Scoggins,170.18,56,66,Southpaw,3.56,51.0,2.16,55.0,3.42,82.0,0.5,Bantam Weight,63.0
159,Neil Seery,162.56,56,64,Orthodox,3.56,41.0,3.79,58.0,0.78,53.0,1.6,Bantam Weight,27.0
160,Fredy Serrano,160.02,56,65,Orthodox,1.58,26.0,1.89,61.0,2.84,84.0,0.0,Bantam Weight,25.0
161,Manon Fiorot,170.18,56,66,Southpaw,5.8,53.0,1.86,79.0,1.64,100.0,0.0,Bantam Weight,100.0
162,Jimmy Flick,170.18,56,68,Orthodox,1.99,58.0,2.3,50.0,1.81,60.76,7.2,Bantam Weight,50.0
163,Hannah Goldy,162.56,56,61,Southpaw,6.53,46.0,3.9,55.0,0.0,66.0,0.0,Bantam Weight,44.09
164,Silvana Gomez Juarez,160.02,56,66,Orthodox,0.0,42.12,0.0,55.91,0.0,60.76,0.0,Bantam Weight,44.09
165,Malcolm Gordon,170.18,56,71,Switch,0.55,13.0,3.87,54.0,0.0,60.76,0.0,Bantam Weight,44.09
166,Wu Yanan,172.72,56,66,Orthodox,4.51,45.0,4.82,51.0,0.61,66.0,0.3,Bantam Weight,22.0
167,Miranda Granger,170.18,56,68,Southpaw,2.91,48.0,2.64,59.0,0.0,40.0,0.0,Bantam Weight,44.09
168,Alexa Grasso,165.1,56,66,Southpaw,4.96,43.0,3.61,64.0,0.28,60.0,0.6,Bantam Weight,40.0
169,Kevin Gray,162.56,56,67,Orthodox,3.45,62.0,4.48,66.0,0.0,60.76,0.0,Bantam Weight,44.09
170,Billy Giovanella,172.72,56,66,Orthodox,1.27,40.0,2.02,52.0,0.87,100.0,1.7,Bantam Weight,12.0
171,Mariya Agapova,167.64000000000001,56,68,Southpaw,3.7,50.0,4.15,47.0,1.23,33.0,0.6,Bantam Weight,66.0
172,Zarrukh Adashev,165.1,56,65,Southpaw,1.93,23.0,3.35,60.0,0.0,60.76,0.0,Bantam Weight,44.09
173,Yao Zhikui,165.1,56,64,Orthodox,1.44,21.0,2.82,48.0,0.66,58.0,0.0,Bantam Weight,16.0
174,Ulysses Gomez,167.64000000000001,56,66,Orthodox,2.72,25.0,3.57,68.0,0.0,60.76,0.0,Bantam Weight,44.09
175,JJ Aldrich,165.1,56,67,Southpaw,3.76,41.0,4.55,61.0,0.8,57.0,0.0,Bantam Weight,40.0
176,Brooke Mayo,170.18,56,66,Orthodox,1.92,34.0,3.2,63.0,3.2,60.76,2.1,Bantam Weight,60.0
177,Gina Mazany,167.64000000000001,56,68,Southpaw,3.45,47.0,3.07,51.0,4.41,33.0,0.3,Bantam Weight,63.0
178,Miranda Maverick,160.02,56,65,Southpaw,9.8,51.0,6.0,62.0,0.0,60.76,0.0,Bantam Weight,44.09
179,Chelsea Hackett,162.56,56,66,Switch,2.58,51.0,4.85,46.0,0.0,57.0,0.0,Bantam Weight,44.09
180,Karine Gevorgyan,162.56,56,63,Orthodox,1.2,20.0,1.8,76.0,0.0,60.76,0.0,Bantam Weight,44.09
181,Darrell Montague,167.64000000000001,56,67,Southpaw,1.92,25.0,5.38,52.0,0.72,33.0,1.4,Bantam Weight,25.0
182,Ryan Benoit,165.1,56,68,Orthodox,2.95,41.0,3.4,60.0,0.33,70.0,0.5,Bantam Weight,25.0
183,Xavier Siller,165.1,56,66,Orthodox,1.02,36.0,1.53,57.0,3.83,60.76,0.0,Bantam Weight,100.0
184,Manel Kape,165.1,56,68,Southpaw,3.67,45.0,4.3,48.0,1.0,80.0,0.0,Bantam Weight,28.0
185,Kai Kara-France,162.56,56,69,Southpaw,5.02,39.0,3.84,66.0,0.53,86.0,0.0,Bantam Weight,23.0
186,CJ Hamilton,170.18,56,68,Switch,2.47,31.0,3.93,58.0,0.0,62.0,0.0,Bantam Weight,44.09
187,Robert Sanchez,167.64000000000001,56,66,Orthodox,0.96,40.0,1.78,46.0,3.61,50.0,0.7,Bantam Weight,62.0
188,Josh Sampo,162.56,56,64,Orthodox,1.99,36.0,2.96,55.0,1.06,40.0,2.1,Bantam Weight,33.0
189,Roldan Sangcha'an,162.56,56,66,Southpaw,2.71,46.0,2.15,51.0,1.94,68.0,0.0,Bantam Weight,60.0
190,Ian McCall,165.1,56,64,Southpaw,3.59,39.0,3.25,67.0,2.08,88.0,0.0,Bantam Weight,30.0
191,Amir Albazi,165.1,56,68,Southpaw,4.06,40.0,3.15,58.0,2.28,66.0,0.8,Bantam Weight,75.0
192,Pietro Menga,170.18,56,68,Southpaw,0.0,42.12,0.0,55.91,0.0,60.76,0.0,Bantam Weight,44.09
193,Marilia Santos,162.56,56,66,Southpaw,4.4,54.0,4.07,53.0,1.0,66.0,1.0,Bantam Weight,100.0
194,Yuta Sasaki,177.8,56,71,Southpaw,2.16,41.0,2.5,50.0,3.03,41.0,1.2,Bantam Weight,43.0
195,Marco Beltran,172.72,56,69,Southpaw,2.07,37.0,1.93,63.0,0.7,46.0,0.2,Bantam Weight,50.0
196,Joseph Benavidez,162.56,56,65,Southpaw,3.52,34.0,2.67,61.0,1.41,62.0,0.6,Bantam Weight,30.0
197,DeAnna Bennett,162.56,56,68,Orthodox,3.13,58.0,3.27,58.0,0.0,60.76,1.0,Bantam Weight,44.09
198,Nick Urso,167.64000000000001,56,66,Southpaw,3.61,45.0,5.06,36.0,0.0,60.76,0.0,Bantam Weight,44.09
199,Yasuhiro Urushitani,165.1,56,66,Southpaw,3.47,39.0,4.71,65.0,0.0,80.0,0.0,Bantam Weight,44.09
200,Darren Uyenoyama,167.64000000000001,56,65,Orthodox,1.34,39.0,2.21,66.0,1.42,35.0,0.7,Bantam Weight,33.0
201,Geane Herrera,165.1,56,66,Orthodox,1.51,31.0,5.07,52.0,0.83,38.0,0.6,Bantam Weight,37.0
202,Jacob Silva,165.1,56,67,Orthodox,4.17,44.0,4.92,56.0,1.51,66.0,0.0,Bantam Weight,100.0
203,Arman Ashimov,167.64000000000001,56,66,Orthodox,0.0,42.12,0.0,55.91,0.0,60.76,0.0,Bantam Weight,44.09
204,Askar Askarov,167.64000000000001,56,67,Southpaw,3.37,55.0,2.65,56.0,2.75,64.0,0.0,Bantam Weight,28.0
205,Tagir Ulanbekov,170.18,56,70,Southpaw,3.07,37.0,3.13,58.0,5.0,50.0,0.0,Bantam Weight,45.0
206,Phil Harris,162.56,56,65,Orthodox,2.34,26.0,3.16,68.0,1.76,60.0,0.0,Bantam Weight,21.0
207,Diana Belbita,170.18,56,68,Orthodox,5.81,39.0,6.49,52.0,1.69,64.0,0.0,Bantam Weight,66.0
208,Sergio Pettis,167.64000000000001,56,69,Southpaw,3.88,37.0,2.91,65.0,0.85,67.0,0.4,Bantam Weight,40.0
209,Cortney Casey,170.18,56,67,Southpaw,4.33,38.0,4.19,52.0,0.28,38.0,0.6,Bantam Weight,27.0
210,Jose Torres,162.56,56,65,Orthodox,4.37,36.0,9.84,50.0,1.28,75.0,0.0,Bantam Weight,33.0
211,Richie Vaculik,167.64000000000001,56,69,Orthodox,3.69,46.0,4.09,57.0,3.0,31.0,1.0,Bantam Weight,45.0
