,fighter_name,Height_cm,Weight_kg,Reach_cm,Stance,SLpM,Str_Acc%,Strikes_absorbed/m,Str_Def%,TD_Avg,TD_Def%,Sub_Avg,weight_class,TD_Acc
1756,Jesse Lennox,175.26,77,72,Orthodox,2.69,32.0,3.2,64.0,1.22,63.0,0.3,Middleweight,66.0
1757,Jesse Ronson,177.8,77,70,Southpaw,3.54,49.0,2.99,59.0,0.63,61.0,0.6,Middleweight,40.0
1758,Bryson Kamaka,180.34,77,73,Orthodox,9.47,60.0,12.63,52.02,0.0,100.0,0.0,Middleweight,47.04
1759,Martin Kampmann,182.88,77,72,Orthodox,3.22,42.0,3.28,62.0,1.86,78.0,2.0,Middleweight,41.0
1760,Luke Jumeau,180.34,77,72,Orthodox,2.93,43.0,3.17,58.0,0.25,86.0,0.0,Middleweight,100.0
1761,Sergey Khandozhko,185.42,77,74,Southpaw,2.83,42.0,1.7,60.0,0.5,64.0,0.0,Middleweight,16.0
1762,Jose Landi-Jons,180.34,77,73,Southpaw,0.99,40.0,0.77,43.0,2.2,40.0,2.2,Middleweight,80.0
1763,Jesse Sanders,182.88,77,73,Orthodox,0.0,43.02,6.45,35.0,0.0,50.0,0.0,Middleweight,47.04
1764,Diego Sanchez,177.8,77,72,Southpaw,2.69,37.0,3.02,56.0,1.51,46.0,0.8,Middleweight,24.0
1765,Tom Egan,180.34,77,73,Orthodox,0.0,43.02,3.91,50.0,0.0,28.0,0.0,Middleweight,47.04
1766,Steve Bruno,177.8,77,73,Orthodox,0.96,52.0,3.38,36.0,1.94,46.0,0.4,Middleweight,25.0
1767,Chris Brown,180.03,77,73,Orthodox,0.0,43.02,0.0,52.02,0.0,60.38,0.0,Middleweight,47.04
1768,Matt Brown,182.88,77,75,Southpaw,3.69,54.0,2.67,55.0,1.56,63.0,1.4,Middleweight,44.0
1769,Randy Brown,190.5,77,78,Southpaw,3.67,47.0,2.8,53.0,1.0,71.0,0.6,Middleweight,46.0
1770,Ben Saunders,187.96,77,77,Orthodox,3.23,50.0,3.58,51.0,0.2,66.0,1.3,Middleweight,40.0
1771,Chad W. Saunders,177.8,77,73,Orthodox,0.0,43.02,0.0,52.02,0.0,60.38,0.0,Middleweight,47.04
1772,Nick Serra,175.26,77,73,Orthodox,0.0,43.02,1.73,43.0,1.0,60.38,2.0,Middleweight,10.0
